Title,Lyrics
Harder To Breathe,"How dare you say that my behavior is unacceptable
So condescending unnecessarily critical
I have the tendency of getting very physical
So watch your step cause if I do you'll need a miracle
You drain me dry and make me wonder why I'm even here
This double vision I was seeing is finally clear
You want to stay but you know very well I want you gone
Not fit to funkin' tread the ground I'm walking on
When it gets cold outside and you got nobody to love
You'll understand what I mean when I say
There's no way we're gonna give up
And like a little girl cries in the face of a monster that lives in her dreams
Is there anyone out there cause it's getting harder and harder to breathe
Is there anyone out there cause it's getting harder and harder to breathe
What you are doing is screwing things up inside my head
You should know better you never listened to a word I said
Clutching your pillow and writhing in a naked sweat
Hoping somebody someday will do you like I did
When it gets cold outside and you got nobody to love
You'll understand what I mean when I say
There's no way we're gonna give up
And like a little girl cries in the face of a monster that lives in her dreams
Is there anyone out there cause it's getting harder and harder to breathe
Is there anyone out there cause it's getting harder and harder to breathe
Does it kill
Does it burn
Is it painful to learn
That it's me that has all the control
Does it thrill
Does it sting
When you feel what I bring
And you wish that you had me to hold
When it gets cold outside and you got nobody to love
You'll understand what I mean when I say
There's no way we're gonna give up
And like a little girl cries in the face of a monster that lives in her dreams
Is there anyone out there cause it's getting harder and harder to breathe
Is there anyone out there cause it's getting harder and harder to breathe"
Highway To Hell,"Living easy, lovin' free
Season ticket on a one-way ride
Asking nothing, leave me be
Taking everything in my stride
Don't need reason, don't need rhyme
Ain't nothing I would rather do
Going down, party time
My friends are gonna be there too
I'm on the highway to hell
highway to hell, highway to hell, highway to hell
No stop signs, speed limit
Nobody's gonna slow me down
Like a wheel, gonna spin it
Nobody's gonna mess me round
Hey Satan, payed my dues
Playing in a rocking band
Hey Momma, look at me
I'm on my way to the promised land
I'm on the highway to hell
highway to hell, highway to hell, highway to hell
(Don't stop me)
I'm on the highway to hell
highway to hell, highway to hell, highway to hell, highway to hell
I'm on the highway to hell
highway to hell, highway to hell, highway to hell"
If I Fell In Love With You,"If I fell in love with you
Would you promise to be true
And help me understand
'Cause I've been in love before
And I found that love was more
Than just holding hands
If I give my heart to you
I must be sure from the very start
That you would love me more than her
If I trust in you
Oh no please, don't run and hide
If I love you too
Oh please, don't hurt my pride like her
'Cause I couldn't stand the pain
And I would be sad
If our new love was in vain
So I hope you see love that
I would love to love you
And that she will cry
When she learns we are two
'Cause I couldn't stand the pain
And I would be sad
If our new love was in vain
So I hope you'll see that
I would love to love you
And that she will cry
When she learns we are two
If I fell in love with you, yeah
No no no no no"
She Will Be Loved,"Beauty queen of only eighteen
She had some trouble with herself
He was always there to help her
She always belonged to someone else
I drove for miles and miles
And wound up at your door
I've had you so many times
But somehow I want more
I don't mind spending every day
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay awhile
And she will be loved
And she will be loved
Tap on my window knock on my door
I want to make you feel beautiful
I know I tend to get so insecure
It doesn't matter anymore
It's not always rainbows and butterflies
It's compromise that moves us along, yeah
My heart is full and my door's always open
You come anytime you want
I don't mind spending every day
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay awhile
And she will be loved
And she will be loved
And she will be loved
And she will be loved
I know where you hide alone in your car
Know all of the things that make you who you are
I know that goodbye means nothing at all
Comes back and begs me to catch her every time she falls, yeah
Tap on my window knock on my door
I want to make you feel beautiful
I don't mind spending every day
Out on your corner in the pouring rain
Look for the girl with the broken smile
Ask her if she wants to stay awhile
And she will be loved
And she will be loved
And she will be loved
(Please don't try so hard to say goodbye)
And she will be loved
Please don't try so hard to say goodbye
Please don't try so hard to say goodbye
(I don't mind spending every day)
(Out on your corner in the pouring rain)
Please don't try so hard to say goodbye"
Sunday Morning,"Yeah oh oh oh yeah
Sunday morning rain is falling
Steal some covers, share some skin
And clouds are shrouding us in moments unforgettable
You twist to fit the mold that I am in
But things just get so crazy, living life gets hard to do
And I would gladly hit the road, get up and go if I knew
That someday it would lead me back to you
That someday it would lead me back to you, oh
That may be all I need
In darkness she is all I see
Come and rest your bones with me
I'm driving slow on Sunday morning
And I never want to leave
My fingers trace your every outline, yeah
Paint a picture with my hands, no, no
And back and forth we sway like branches in a storm
Change of weather, still together when it ends, oh
That may be all I need
In darkness she is all I see
Come and rest your bones with me
I'm driving slow on Sunday morning
And I never want to leave, yeah
Oh oh yeah
But things just get so crazy, living life gets hard to do
And Sunday morning rain is falling and I'm calling out to you
Singing someday it will bring me back to you, yeah
Find a way to get myself back home to you
And you may not know
That may be all, all I, all I need
Oh, in darkness she is all, all I, I see
And now come and rest your bones with me, yeah
Driving slow, driving slow
Now yeah yeah yeah, oh yeah yeah yeah
Oh yeah yeah yeah, oh yeah yeah yeah
Oh yeah yeah yeah, oh yeah yeah
There's a flower in your hair
And I'm a flower in your hair, oh oh
Oh yeah yeah, oh yeah yeah
Oh yeah yeah
Sunday morning rain
On Sunday morning, yeah yeah
On Sunday morning, oh oh oh oh
I'll be home, I'll be"
The Sun,"After school, walking home
Fresh dirt under my fingernails
And I can smell hot asphalt
Cars screech to a halt to let me pass
And I cannot remember
What life was like through photographs
And trying to recreate images
Life gives us from our past
And sometimes it's a sad song
But I cannot forget, refuse to regret
So glad I met you and
Take my breath away, make everyday
Worth all of the pain that I have gone through
And mama I've been cryin'
'Cause things ain't how they used to be
She said, ""The battles almost won
And we're only several miles from the sun"" whoa yeah
And I'm moving on down the street
I see people I won't ever meet
I think of her, take a breath
Feel the beat in the rhythm of my steps
And sometimes it's a sad song, ho
But I cannot forget, refuse to regret
So glad I met you and
Take my breath away, make everyday
Worth all of the pain that I have gone through
And mama I've been cryin'
'Cause things ain't how they used to be
She said, ""The battles almost won
And we're only several miles from the sun""
The rhythm of her conversation
The perfection of her creation
The sex she slipped into my coffee
The way she felt when she first saw me
Hate to love and love to hate her
Like a broken record player
Back and forth and here and gone
And on and on and on and on
But I cannot forget, refuse to regret
So glad I met you and
Take my breath away, make everyday
Worth all of the pain that I have gone through
And mama I've been cryin'
'Cause things ain't how they used to be
She said, ""The battles almost won
And we're only several miles""
She said, ""The battles almost won
And we're only several miles from the sun"" yeah"
This Love,"I was so high I did not recognize
The fire burning in her eyes
The chaos that controlled my mind
Whispered goodbye as she got on a plane
Never to return again
But always in my heart, oh!
This love has taken its toll on me
She said goodbye too many times before
And her heart is breaking in front of me
And I have no choice
?Cause I won't say goodbye anymore
I tried my best to feed her appetite
Keep her coming every night
So hard to keep her satisfied, oh!
Kept playing love like it was just a game
Pretending to feel the same
Then turn around and leave again
This love has taken its toll on me
She said goodbye too many times before
And her heart is breaking in front of me
And I have no choice
?Cause I won't say goodbye anymore
I'll fix these broken things
Repair your broken wings
And make sure everything's alright
(It's alright, it's alright)
My pressure on your hips
Sinking my fingertips
Into every inch of you
Because I know that's what you want me to do
This love has taken its toll on me
She said goodbye too many times before
Her heart is breaking in front of me
And I have no choice
?Cause I won't say goodbye anymore
This love has taken its toll on me
She said goodbye too many times before
And my heart is breaking in front of me
And she said goodbye too many times before
This love has taken its toll on me
She said goodbye too many times before
Her heart is breaking in front of me
And I have no choice
?Cause I won't say goodbye anymore"
Better That We Break,"I never knew perfection till
I heard you speak and now it kills me
Just to hear you say the simple things
Now waking up is hard to do
Sleeping's impossible too
And every thing's reminding me of you
What can I do?
It's not right, not okay
Say the words that you're saying
Maybe we're better off this way
I'm not fine, I'm in pain
It's harder everyday
Maybe we're better off this way
It's better that we break
A fool to let you slip away
I'll chase you just to hear you say
You're scared enough
You think that I'm insane
I see you, you look so nice from here
Pity, I can't see it clearly
Why you're standing there
It disappears, it disappears
It's not right, not okay
Say the words that you're saying
Maybe we're better off this way
I'm not fine, I'm in pain
It's harder everyday
Maybe we're better off this way
It's better that we break
Saw you sitting on the lawn
You're fragile and you're cold
But that's all right
The lie these days is getting rough
Knocked you down and beat you up
But it's just a roller coaster anyway, yeah
It's not right, not okay
Say the words that you're saying
Maybe we're better off this way
I'm not fine, I'm in pain
It's harder everyday
Maybe we're better off this way
I'm not fine, I'm not okay
Say the words that you're saying
Maybe we're better off this way
I'm not fine, I'm not okay
It's harder everyday
Maybe we're better off this way
It's better that we break, baby"
Goodnight Goodnight,"You left me hanging from a thread
We once swung from together
I lick my wounds
But I can't ever see them getting better
Some thing's gotta change
Things cannot stay the same
Her hair was pressed against her face
Her eyes were red with anger
Enraged by things unsaid
And empty beds and bad behavior
Some thing's gotta change
It must be rearranged, oh
I'm sorry
I did not mean to hurt my little girl
It's beyond me
I cannot carry the weight of the heavy world
So goodnight, goodnight, goodnight, goodnight
Goodnight, goodnight, goodnight, goodnight
Goodnight, hope that things work out all right, yeah
The room was silent
As we all tried so hard to remember
The way it feels to be alive
The day that he first met her
Some thing?s gotta change
Things cannot stay the same
You make me think of someone wonderful
But I can't place her
I wake up every morning
Wishing one more time to face her
Some thing's gotta change
It must be rearranged, oh
I'm sorry
I did not mean to hurt my little girl
It's beyond me
I cannot carry the weight of a heavy world
So goodnight, goodnight, goodnight, goodnight
Goodnight, goodnight, goodnight, goodnight
Goodnight, hope that things work out all right
So much to love, so much to learn
But I won't be there to teach you, oh
I know I can be close
But I try my best to reach you
I'm so sorry
I did not mean to hurt my little girl
It's beyond me
I cannot carry the weight of a heavy world
So goodnight, goodnight, goodnight, goodnight
Goodnight, goodnight, goodnight, goodnight
Goodnight, goodnight, goodnight, goodnight
Goodnight, hope that things work out all right, yeah"
If I Never See Your Face Again,"Now as the summer fades, I let you slip away
You say I'm not your type but I can make you sway
It makes you burn to learn you're not the only one
I'd let you be if you put down your blazing gun
Now you've gone somewhere else far away
I don't know if I will find you
But you feel my breath on your neck
Can't believe I'm right behind you
'Cause you keep me coming back for more
And I feel a little better than I did before
If I never see your face again, I don't mind
'Cause we've gone much further than I thought we'd get tonight
Sometimes you move so well, it's hard not to give in
I'm lost, I can't tell where you end and I begin
It makes me burn to learn you're with another man
I wonder if he's half the lover that I am
Now you've gone somewhere else far away
I don't know if I will find you
But you feel my breath on your neck
Can't believe I'm right behind you
'Cause you keep me coming back for more
And I feel a little better than I did before
If I never see your face again, I don't mind
'Cause we've gone much further than I thought we'd get tonight
Baby, baby, please believe me
Find it in your heart to reach me
Promise not to leave me behind
Take me down but take it easy
Make me think but don't deceive me
Torture me by taking your time
'Cause you keep me coming back for more
And I feel a little better than I did before
If I never see your face again, I don't mind
'Cause we've gone much further than I thought we'd get tonight
You keep me coming back for more
And I feel a little better than I did before
If I never see your face again, I don't mind
'Cause we've gone much further than I thought we'd get tonight"
Little Of Your Time,"I'm sick of picking the pieces
And second guessing my reasons
Why you don't trust me
Why must we do this to one another
We are just passionate lovers
With trouble under the covers
Nothing worse than when
You know that it's over
I just need a little of your time
A little of your time
To say the words I never said
Just need a little of your time
A little of your time
To show you that I am not dead
Please don't leave, stay in bed
Touch my body instead
Gonna make you feel it
Can you still feel it?
Gonna make you feel it
Can you still feel it?
Well, I've got nothing to hide
Dip down and come for a ride
I'm racing the devil so sly
You cannot hear 'em coming
'Cause my defenses are weak
I have no breath left to speak
So take the evidence
And bury it somewhere
I just need a little of your time
A little of your time
To say the words I never said
Just need a little of your time
A little of your time
To show you that I am not dead
Please don't leave, stay in bed
Touch my body instead
Gonna make you feel it
Can you still feel it?
Gonna make you feel it
Can you still feel it?
Oh my, I don't mind being the other guy
Nice try, for these games, I do not have the time
If you want me, call me, come and take a risk
Kiss me somewhere deep below the surface
I just need a little of your time
A little of your time
To say the words I never said
I just need a little of your time
A little of your time
To show you that I am not dead
Please don't leave, stay in bed
Touch my body instead
Gonna make you feel it
Can you still feel it?
Gonna make you feel it
Can you still feel it?
Gonna make you feel it
Can you still feel it?
Gonna make you feel it
Can you still feel it?"
Makes Me Wonder,"Wake up with blood-shot eyes
Struggled to memorize
Way it felt to hearing lies
People that made you cry
Feel so good to be bad
Not worth the aftermath
After that, after that
Try to get you back
I still don't have the reason
And you don't have the time
And it really makes me wonder
If I ever gave a thought about you
Give me something to believe in
'Cause I don't believe in you anymore, anymore
I wonder if it even makes a difference to try
Yeah, so this is goodbye
Can?t stop my spinning head
Decisions that made my bed
Now I must lay in it
Deal with things I've left unsaid
Want to dive into you
Forget what you're going through
Get behind, make your move
Forget about the truth
I still don't have a reason
And you don't have the time
And it really makes me wonder
If I ever gave a thought about you
Give me something to believe in
'Cause I don't believe in you anymore, anymore
I wonder if it even makes a difference
Even makes a difference to try, yeah
And you told me how you're feelin'
But I don't believe it's true anymore, anymore
I wonder if it even makes a difference to cry
So this is goodbye
I've been here before, one day, a week
And it won't hurt anymore
You caught me in a lie, I have no alibi
The words you said don't have a meaning 'cause
I still don't have a reason and you don't have the time
And it really makes me wonder
If I ever gave a thought about you and I
So this is goodbye
Give me something to believe in
'Cause I don't believe in you anymore, anymore
I wonder if it even makes a difference
Even makes a difference to try, yeah
And you told me how you're feelin'
But I don't believe it's true anymore, anymore
I wonder if it even makes a difference to cry
So this is goodbye
So this is goodbye
Yeah, so this is goodbye
Yeah, so this is goodbye"
Not Falling Apart,"Danced all night and slept all day
Careless with my heart again
Fearless when it comes to playing games
You don't cry and you don't care
Afraid to have a love affair
Is that your ghost or are you really there?
Now I can't walk, I can't talk anymore
Since you walked out the door
And now I'm stuck, living out that night again
I'm not falling apart
Wither on a sunny day
Time slows down, I wish you'd stay
Pass me by in crowded dark hallways
Try my hardest not to scream
I find my heart is growing weak
So leave your reasons on the bathroom sink
Now I can't walk, I can't talk anymore
Since you walked out the door
And now I'm stuck, living out that night again
I'm not falling apart
I heard you say you needed me
Now what's the problem? I can't see
You destroyed me, I won't fall apart again
I'm not falling apart
Take what you want
And I will be just fine
You will be better off alone at night
Waiting and falling
Constantly calling out your name
Will it ever change?
Now I can't walk, I can't talk anymore
Since you walked out the door
And now I'm stuck living out that night again
I'm not falling apart
I heard you say you needed me
Now what's the problem? I can't see
You destroyed me, I won't fall apart again
I'm not falling apart"
Secret [Premier 5 Remix],"Watch the sunrise
Say your goodbyes
Off we go
Some conversation
No contemplation
Hit the road
Car overheats
Jump out of my seat
On the side of the highway baby
Our road is long
Your hold is strong
Please don't ever let go, oh no
I know I don't know you
But I want you so bad
Everyone has a secret
Oh can they keep it
Oh no they can't
Driving fast now
Don't think I know how to go slow
Where you at now
I feel around
There you are
Cool these engines
Calm these jets
I ask you how hot can it get
And as you wipe of beads of sweat
Slowly you say, ""I'm not there yet""
I know I don't know you
But I want you so bad
Everyone has a secret
Oh can they keep it
Oh no they can't
I know I don't know you
But I want you so bad
Everyone has a secret
Oh but can they keep it
Oh no they can't"
Shiver,"You build me up, you knock me down
Provoke a smile and make me frown
You are the queen of run around
You know it's true
You chew me up and spit me out
Enjoy the taste, I leave in your mouth
You look at me, I look at you
Neither of us know what to do
And there may not
Be another way to your heart
So I guess I'd better find a new way in
I shiver when I hear your name
I think about you but it's not the same
I won't be satisfied 'til I'm under your skin
Immobilized by the thought of you
Paralyzed by the sight of you
Hypnotized by the words you say
Not true but I believe 'em anyway
So come to bed it's getting late
There's no more time for us to waste
Remember how my body tastes
You feel your heart begin to race
There may not
Be another way to your heart
So I guess I'd better find a new way in
I shiver when I hear your name
I think about you but it's not the same
I won't be satisfied 'til I'm under your skin
You feel your heart begin to race
There may not
Be another way to your heart
So I guess I'd better find a new way in
And I shiver when I hear your name
I think about you but it's not the same
I won't be satisfied 'til I'm under your skin, yeah
There may not
Be another way to your heart
So I guess I'd better find a new way in
And I shiver when I hear your name
I think about you but it's not the same
I won't be satisfied 'til I'm under your skin, yeah"
Wake Up Call,"I didn't hear what you were saying
I live on raw emotion, baby
I answer questions, never maybe
And I'm not kind if you betray me
So who the hell are you to say 'we'?
I never would've made it, baby
If you needed love, well, then ask for love
Could've given love, now I'm taking love
And it's not my fault 'cause you both deserve
What's coming now, so don't say a word
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Don't you care about me? I don't think so!
Six foot tall, came without a warning
So I had to shoot him dead
He won't come around here anymore
Come around here, I don't think so!
I would've bled to make you happy
You didn't need to treat me that way
And now you've beat me at my own game
And now I found you sleeping soundly
And your love is screaming loudly
I hear a sound and hit the ground
If you needed love, well, then ask for love
Could've given love, now I'm taking love
And it's not my fault 'cause you both deserve
What's coming now, so don't say a word
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Don't you care about me? I don't think so!
Six foot tall, came without a warning
So I had to shoot him dead
He won't come around here anymore
Come around here, I don't feel so bad
I don't feel so bad, I don't feel so bad
I'm so sorry, darling
Did I do the wrong thing?
Oh, what was I thinking?
Is his heart still beating?
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Don't you care about me? I don't think so!
Six foot tall, came without a warning
So I had to shoot him dead
He won't come around here anymore
Come around here, I don't feel so bad
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Care about me? I don't think so!
Six foot tall, came without a warning
So I had to shoot him dead
He won't come around here anymore
No, he won't come around here, I don't feel so bad
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?
Don't you care about me? I don't feel so bad
Wake up call, caught you in the morning
With another one in my bed
Don't you care about me anymore?"
Woman,"If I'd be so inclined to climb up beside you
Would you tell me that the time just isn't right?
And if I should ever find the key you hide so well
Will you tell me that I can spend the night?
Leaving your smell on my coat
Leaving your taste on my shoulder
I still fail to understand what it is about this woman
If l could bottle up the chills that you gave me
I would keep them in a jar next to my bed
And if I should ever draw a picture of a woman
It is you that would come flowing from my pen, yeah
Leaving your clothes on my floor
Making me walk out the door and
I still fail to understand what it is about this woman
Fail to understand what it is about this woman
Helplessly melting as I stand next to the sun
As she burns me, I am screaming loud for more
I drink every drop of liquid heat that I've become
Pop me open spill me out onto the floor
Leaving your smell on my coat
Leaving your taste on my shoulder
I still fail to understand, fail to understand
Leaving your smell on my coat
Leaving your taste on my shoulder
I still fail to understand what it is about this woman
Yes"
Back At Your Door,"From the moment the lights went off
Everything had changed
Lie awake in an empty room
In my head, it all feels the same
Like the taste of the day you left
It still lingers on my breath
And the dampness of tears that left
That stain where you had wept
All alone with the negligee
That still hangs off of my bed
I keep meaning to give it away
But I just leave it there instead
No need to cry about it
I cannot live without it
Every time I wind up back at your door
Why do you do this to me?
You penetrate right through me
Every time I wind up back at your door
Three more days 'til I see your face
I'm afraid, it's far too much
Cook a meal and fix up the place
Dial your number, hang it up
If I took you for granted
I apologize for acting tough
You're my reason for living
And there's no way I'm giving up
No need to cry about it
I cannot live without it
Every time I wind up back at your door
Why do you do this to me?
You penetrate right through me
Every time I wind up back at your door
Now every evening is a bitter fight
And I'm eating all alone on a Friday night
And I know what your friends say
?He?s just wasting your love and time?
I will never let you change your mind
No need to cry about it
I cannot live without it
Every time I wind up back at your door
Why do you do this to me?
You penetrate right through me
Every time I wind up back at your door
No need to cry about it
I may just die without it
Every time I wind up back at your door
Why do you do this to me?
You penetrate right through me
Every time I wind up back at your door
Every time I wind up  back at your door
Every time I wind up back at your door"
Can't Stop,"All alone in my room, think of you
At a rate that is truly alarming
I keep looping my memories of you in my head
I pretend that you want me
And I fall asleep
And dream of alternate realities
And I put myself at ease
By pretending that she still loves me
And I can't stop thinking about you
And I can't stop thinking about you
And you never could or would do what I do
And I can't stop thinking about your love
Can't believe I could think that she would
Just follow me everywhere I go
I just wrestle with you in my dreams
And wake up making love to a pillow
And I fall asleep
And dream of alternate realities
And I put myself at ease
By pretending that she still loves me
And I can't stop thinking about you
And I can't stop thinking about you
You never could or would do what I do
And I can't stop and I can't stop
What I would give to have you look in my direction?
And I'd give my life to somehow attract your attention
And I touch myself like it's somebody else
Thoughts of you attached to, on my mind, let me show you
I can't stop thinking about you
And I can't stop thinking about you
And you never could or would do what I do
And I can't stop thinking about you
And I can't stop thinking about you
I can't stop thinking about you
And you never could or would do what I do
I can't stop thinking about you"
Kiwi,"You're such a flirt, I know you hurt
And so do I, I empathize
I see you out, you never cared
A conversation that we never shared
But it's so strange, it's something new
Amazing feelings that I have for you
I close my eyes when I'm alone
Wonder what it'd be like to make you moan
I wanna give you something better
Than anything you've ever had
A stronger and a faster lover
The world, it disappears so fast
Sweet kiwi
Your juices dripping down my chin
So please, let me
Don't stop it before it begins
So give it up and don't pretend
And spread your arms and legs across the bed
And when you shake, you won't regret
The things I whisper in your ear
(What?)
I said
I wanna give you something better
(You wanna give me something better)
Anything you've ever had
(Than anything I've ever had)
A stronger and a faster lover
(A stronger and a faster lover)
The world, it disappears so fast
(It disappears so fast)
Sweet kiwi
Your juices dripping down my chin
So please, let me
Don't stop it before it begins
I can't wait to take you home
Fingers through your hair
Kisses on your back
Scratch me with your nails
Save me from myself
Show me how to care
Get everything out
Dripping everywhere
Lipstick smeared all over your face
How much longer must we wait?
Don't think that I can wait
Sweet kiwi
Your juices dripping down my chin
So please, let me
Don't stop me before it begins
Sweet kiwi
(Wanna give you something better than this)
Your juices dripping down my chin
So please, let me
(Wanna give you something better than this)
Don't stop it before it begins
Don't stop it before it begins
Don't stop it before it begins
Don't stop it before it begins
Don't stop it before it begins"
